user_input,retrieved_contexts,response,reference,context_precision,faithfulness,answer_relevancy
本次研报的核心研究问题是什么？,"['本研究报告仅通过邮件提供给 东方财富网 使用。1\n \n                                                                                                                                 \n请务必仔细阅读正文之后的各项信息披露与声明 \n \n宏\n观\n研\n究\n \n世\n界\n经\n济\n \n \n证\n券\n研\n究\n报\n告\n \n \n“地缘压力测试”系列 \n \n2026 年04 月21 日 \n冲突缓和后，美债利率能否“回到原点”？ \n—“地缘压力测试”系列之三\n相关研究 \n- \n证券分析师 \n赵伟 A0230524070010 \nzhaowei@swsresearch.com \n陈达飞 A0230524080010 \nchendf@swsresearch.', '本公司不会\n因接收人收到本报告而视其为客户。客户应当认识到有关本报告的短信提示、电话推荐等只是研究观点的简要沟通，需以\n本公司http://www.swsresearch.com 网站刊载的完整报告为准，本公司接受客户的后续问询。 \n本报告是基于已公开信息撰写，但本公司不保证该等信息的真实性、准确性或完整性。本报告所载的资料、工具、意见及\n推测只提供给客户作参考之用，并非作为或被视为出售或购买证券或其他投资标的的邀请。', '预计今年头条通胀率将以\n2.75%-3%结束，随后在2027年回落至2%的目标水平。就业市场总体稳定，但出现了一些疲软迹象。当\n前就业市场的疲软与人工智能无关。雇主在招聘新员工方面持谨慎态度。预计失业率将保持在4.25%-\n4.5%之间。预计今年关税对通胀的影响将减弱。中东冲突已经推高了通胀。在面临挑战的情况下，货币\n政策“处于良好位置”。战争影响下，经济前景高度不确定。正在出现供应链中断的迹象。', '本研究报告仅通过邮件提供给 东方财富网 使用。5\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第5页 共24页                            简单金融 成就梦想 \n图表61：原材料生产环比走弱幅度最大 ............................................................. 21 \n图表62：3 月制造业生产结构中，交运设备、家具、服装、化学品环比走弱 ......', '本研究报告仅通过邮件提供给 东方财富网 使用。2\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第2页 共24页                            简单金融 成就梦想 \n一、热点思考：冲突缓和后，美债利率能否“回到原点”？\n .........................................................................................']",本次研报的核心研究问题是：“冲突缓和后，美债利率能否‘回到原点’？”【来源：H301_AP202604211821369599_1.pdf 第2页】,本报告主要研究冲突缓和后，美债利率能否回到冲突前水平，以及影响其回落的关键因素。:contentReference[oaicite:0]{index=0},0.9999999999,1.0,0.49358575963494056
历史上原油冲击对美债利率的典型影响机制是什么？,"['（一）历史上，油价冲击如何影响美债：利率先交易通\n胀，最终方向取决于宏观环境 \n70 年代以来，全球经历了七次具有代表性的原油冲击。分别是：1973-1974 年\n第一次石油危机、1978-1980 年第二次石油危机、1984-1988 年油轮战争、1990-1991\n年海湾战争、2007-2008 年油价上涨，2011 年利比亚战争，以及2022 年俄乌冲突\n引发的能源冲击。', '图表1：60 年代以来主要油价冲击 \n \n资料来源：美联储，申万宏源研究     \n历次原油供给冲击下，美债利率共性规律是经历“先交易通胀、后交易增长”的\n两阶段。第一阶段，市场的核心逻辑是供给收缩、油价跳升。油价上升推升通胀预期，\n政策利率路径上修，短端利率反应较快，10 年期利率通常同步上行，利率曲线平坦\n化。第二次石油危机，10 年美债收益率从1979 年1 月初的9.', '一、热点思考：冲突缓和后，美债利率能否“回到原点”？ \n（一）历史上，油价冲击如何影响美债：利率先交易通胀，最终方向取决于宏观环境 \n70 年代以来，全球经历了七次具有代表性的原油冲击。', '从驱动来源看，这些冲击可分为三类，第\n一类是供给冲击型，包括第一次石油危机、第二次石油危机等；第二类纯避险型冲击，实物供给受\n损相对有限，如1984-1988 年油轮战争；第三类是需求冲击型，典型案例是2008 年油价上涨。 \n历次原油冲击，美债利率往往经历“先交易通胀、后交易增长”的两阶段。第一阶段，利率定价的\n核心逻辑是供给收缩、油价跳升；第二阶段，重心由通胀切换至基本面本身。', '......................... 6 \n（一）历史上，油价冲击如何影响美债：利率先交易通胀，最终方向\n取决于宏观环境 ............................................................................................. 6 \n（二）本轮冲突下的美债表现：短期通胀已计入，长期风险仍偏克制\n ....................']","历史上原油冲击对美债利率的典型影响机制是“先交易通胀、后交易增长”的两阶段。

第一阶段，市场的核心逻辑是供给收缩、油价跳升。油价上升推升通胀预期，政策利率路径上修，短端利率反应较快，10年期利率通常同步上行，利率曲线平坦化。【来源：H301_AP202604211821369599_1.pdf 第6页】",原油冲击通常使美债利率经历“先交易通胀、后交易增长”的两阶段过程，最终方向取决于宏观环境。:contentReference[oaicite:1]{index=1},0.6388888888675925,1.0,0.9168343961643601
本轮中东冲突中，美债利率上行幅度与历史相比如何？,"['（二）本轮冲突下的美债表现：短期通胀已计入，长期风险仍偏克制 \n此次冲击美债定价相对温和，利率变动可类比海湾战争案例。尽管霍尔木兹海峡严重受阻，但美\n债利率最大上行仅约50bp；第一次石油危机时期，10 年美债利率上升约150BP；第二次石油危\n机，10 年美债利率再度上行150-200bp；海湾战争初期，因供给担忧，10 年利率上行约50bp。', '图表4：第一次石油危机期间，美债利率走势 \n图表5：2011 利比亚战争期间，美债利率走势 \n \n \n \n资料来源：彭博，申万宏源研究 \n资料来源：彭博，申万宏源研究 \n（二）本轮冲突下的美债表现：短期通胀已计入，长期风\n险仍偏克制 \n与历次典型地缘冲击相比，此次冲击，美债定价相对温和，利率变动可类比海湾\n战争案例。', '本研究报告仅通过邮件提供给 东方财富网 使用。6\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第6页 共24页                            简单金融 成就梦想 \n中东地缘冲突以来，美债利率跟随通胀同步抬升。4 月，随着美伊临时停火谈判\n的推进，市场开始定价“冲突缓和”。局势缓和后，美债利率能否“回到原点”，哪\n些因素或阻碍利率的顺畅回落？ \n一、热点思考：冲突缓和后，美债利率能否“回到原\n点”？', '尽管霍尔木兹海峡严重受阻，但美债利率最大上行幅度约50bp，波动幅\n度也相对收敛。第一次石油危机时期，1973 年11 月，OPEC 调升油价，10 年美债\n利率从1973 年11 月的6.7%升至1974 年8 月的8.2%，上升约150BP；第二次石\n油危机，10 年美债利率收益率再度大幅上行150-200bp；海湾战争初期，因供应担\n忧，10 年美债利率短暂上行约50bp。2022 年俄乌冲击后，10 年美债从2 月25 日\n的1.', '9%后，于1991 年2 月回落至7.9%，较冲突前反而降低62\n个基点。主因是供给冲击修复较快，且美国增长本身出现走弱。 \n图表12：海湾战争期间美债利率走势 \n图表13：油轮战争期间美债利率走势 \n \n \n \n资料来源：彭博，申万宏源研究 \n资料来源：彭博，申万宏源研究 \n热战可以缓和，供给伤痕未必同步消失，此次冲突更需警惕的是供给体系层面的\n重构可能。']","根据研报片段中的信息，本轮中东冲突中，尽管霍尔木兹海峡严重受阻，但美债利率的最大上行幅度约为50bp，这相对温和。这一现象可以类比海湾战争案例。

【来源：H301_AP202604211821369599_1.pdf 第7页】",本轮冲突中美债利率上行幅度较为温和，最大约50bp，明显低于石油危机时期的150-200bp。:contentReference[oaicite:2]{index=2},0.9166666666361111,0.75,0.8845851993783113
当前市场对美国通胀路径的预期如何变化？,"['我们可能会看到油价向核心通胀的某种传导，到今年年底，这一衡量价格上涨的潜在指标预\n计将“略低于3%，或在3%左右”，而美联储的目标为2%，且存在甚至更高的风险。美联储可能会在“\n一段时间内”将政策利率维持在目前3.50%-3.75%的区间，并在未来几个月观察通胀、就业和经济数据。\n中性\n-1%\n0%\n1%\n2%\n3%\n4%\n5%\n2024-03\n2024-09\n2025-03\n2025-09\n2026-03\n美国PPI同比\n商品：能源\n商品：食品\n其他商品\n服务\n建筑\n最终需求：同比\n-0.5%\n0.', '.................................................................. 8 \n图表8：短期通胀预期出现抬升 ............................................................................ 8 \n图表9：美国CPI 同比或在二季度升至3.7%-3.8% .........................................', '预计今年头条通胀率将以\n2.75%-3%结束，随后在2027年回落至2%的目标水平。就业市场总体稳定，但出现了一些疲软迹象。当\n前就业市场的疲软与人工智能无关。雇主在招聘新员工方面持谨慎态度。预计失业率将保持在4.25%-\n4.5%之间。预计今年关税对通胀的影响将减弱。中东冲突已经推高了通胀。在面临挑战的情况下，货币\n政策“处于良好位置”。战争影响下，经济前景高度不确定。正在出现供应链中断的迹象。', '2、美国经济放缓超预期。关注美国就业、消费走弱风险。 \n3、美联储超预期转“鹰”。若美国通胀展现出更大韧性，可能会影响美联储未\n来降息节奏。 \n \n \n \n \n \n \n \n月份\n星期一\n星期二\n星期三\n星期四\n星期五\n星期六\n星期日\n4/5月\n20\n21\n22\n23\n24\n25\n26\n9:00 CN\n20:30 US\n14:00 UK\n16:00 EU\n7:30 JP\n中国LPR利率\n3月零售销售\n3月CPI\n4月PMI\n3月CPI\n16:30 UK\n4月PMI\n21:45', '二是长期通胀计\n价相对温和。5 年/5 年远期盈亏平衡通胀率（5y5y Forward Breakeven Inflation Rate）\n4 月仍维持在2.2%附近，较冲击前未显著抬升，市场并未担忧长期通胀中枢的潜在\n抬升。 \n图表8：短期通胀预期出现抬升 \n图表9：美国CPI 同比或在二季度升至3.7%-3.']",当前市场对美国通胀路径的预期出现了变化，表现为短期通胀预期有所抬升。具体而言，预计美国CPI同比将在第二季度上升至3.7%-3.8%【来源：H301_AP202604211821369599_1.pdf 第8页】。此外，报告还提到今年头条通胀率预计将结束在2.75%-3%，随后在2027年回落至美联储的目标水平2%【来源：H301_AP202604211821369599_1.pdf 第20页】。这些信息表明，短期内通胀压力有所增加，但长期来看通胀预期较为温和。,市场预计美国CPI同比在二季度升至约3.7%-3.8%，随后在2026年下半年回落至3.2%-3.3%。:contentReference[oaicite:3]{index=3},0.4499999999775,1.0,0.8378912056418202
长期通胀预期在本轮冲突中是否发生明显变化？,"['目前来看，今年剩余时间可能只会看到三次降息。甚至在战争爆发前，通胀的底层构成对美联\n储而言就已经变得更加棘手。预计核心商品价格和住房通胀将继续下降，这仍是合理的。从现在起一年\n后，12个月PCE（个人消费支出物价指数）可能会在2%的目标附近。目前认为，与战前相比，能源冲击\n并未改变对12-18个月后通胀前景的预期。没有证据表明出现了“工资-物价螺旋”上升；长期预期保持稳\n定（锚定）。战争增加了围绕基准预测的风险分布。', '（二）本轮冲突下的美债表现：短期通胀已计入，长期风险仍偏克制 \n此次冲击美债定价相对温和，利率变动可类比海湾战争案例。尽管霍尔木兹海峡严重受阻，但美\n债利率最大上行仅约50bp；第一次石油危机时期，10 年美债利率上升约150BP；第二次石油危\n机，10 年美债利率再度上行150-200bp；海湾战争初期，因供给担忧，10 年利率上行约50bp。', '本研究报告仅通过邮件提供给 东方财富网 使用。8\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第8页 共24页                            简单金融 成就梦想 \n图表6：此次冲突10 年美债利率抬升幅度较温和 \n图表7：MOVE 指数波动幅度仍较低 \n \n \n \n资料来源：彭博，申万宏源研究 \n资料来源：彭博，申万宏源研究 \n从定价结构看，当前美债已计入短期通胀的上升，远端通胀预期依然稳定。', '图表4：第一次石油危机期间，美债利率走势 \n图表5：2011 利比亚战争期间，美债利率走势 \n \n \n \n资料来源：彭博，申万宏源研究 \n资料来源：彭博，申万宏源研究 \n（二）本轮冲突下的美债表现：短期通胀已计入，长期风\n险仍偏克制 \n与历次典型地缘冲击相比，此次冲击，美债定价相对温和，利率变动可类比海湾\n战争案例。', '二是长期通胀计\n价相对温和。5 年/5 年远期盈亏平衡通胀率（5y5y Forward Breakeven Inflation Rate）\n4 月仍维持在2.2%附近，较冲击前未显著抬升，市场并未担忧长期通胀中枢的潜在\n抬升。 \n图表8：短期通胀预期出现抬升 \n图表9：美国CPI 同比或在二季度升至3.7%-3.']","长期通胀预期在本轮冲突中未发生显著变化。5 年/5 年远期盈亏平衡通胀率（5y5y Forward Breakeven Inflation Rate）4 月仍维持在2.2%附近，较冲击前未显著抬升，市场并未担忧长期通胀中枢的潜在抬升。

【来源：H301_AP202604211821369599_1.pdf 第8页】",长期通胀预期较为稳定，5年/5年前瞻通胀率仍维持在约2.2%水平。:contentReference[oaicite:4]{index=4},0.19999999998,1.0,0.99339002693356
研报认为冲突缓和后限制美债利率回落的主要因素有哪些？,"['本研究报告仅通过邮件提供给 东方财富网 使用。6\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第6页 共24页                            简单金融 成就梦想 \n中东地缘冲突以来，美债利率跟随通胀同步抬升。4 月，随着美伊临时停火谈判\n的推进，市场开始定价“冲突缓和”。局势缓和后，美债利率能否“回到原点”，哪\n些因素或阻碍利率的顺畅回落？ \n一、热点思考：冲突缓和后，美债利率能否“回到原\n点”？', '9%后，于1991 年2 月回落至7.9%，较冲突前反而降低62\n个基点。主因是供给冲击修复较快，且美国增长本身出现走弱。 \n图表12：海湾战争期间美债利率走势 \n图表13：油轮战争期间美债利率走势 \n \n \n \n资料来源：彭博，申万宏源研究 \n资料来源：彭博，申万宏源研究 \n热战可以缓和，供给伤痕未必同步消失，此次冲突更需警惕的是供给体系层面的\n重构可能。', '一方面，市场预计地缘的紧张局势\n仍有缓和空间，美伊冲突尚难以对标为1973 年全面禁运或1979 两伊战争的长期产能破坏；二\n是美国能源缓冲增强；三是长期通胀锚仍稳定，市场相信美联储未必被迫进入紧缩周期。 \n（三）若冲突缓和，美债还能回得去吗：油价中枢与安全资产需求构成双重约束 \n地缘冲突缓和后，美债定价的两个核心变量是：短端关注原油价格中枢，长端为AI 通缩交易。', '资料来源：彭博，申万宏源研究 \n（三）若冲突缓和，美债还能回得去吗：油价中枢与安全\n资产需求构成双重约束  \n历史上，地缘局势缓和后，美债利率往往先回吐部分溢价，但未必能降至冲突前。\n冲突缓和后，美债利率切换至基本面、美联储路径定价，供给约束未必能真正消退。\n第一次石油危机中，阿拉伯禁运在1974 年3 月正式解除，但高油价并未随之消失。\n禁运前油价约2.', '（二）本轮冲突下的美债表现：短期通胀已计入，长期风险仍偏克制 \n此次冲击美债定价相对温和，利率变动可类比海湾战争案例。尽管霍尔木兹海峡严重受阻，但美\n债利率最大上行仅约50bp；第一次石油危机时期，10 年美债利率上升约150BP；第二次石油危\n机，10 年美债利率再度上行150-200bp；海湾战争初期，因供给担忧，10 年利率上行约50bp。']","研报认为冲突缓和后限制美债利率回落的主要因素包括：

- 供给伤痕未必同步消失。中东地缘冲突可能带来的是供给体系层面的重构，这种影响不会立即消退。
- 油价中枢的抬升。即使冲突有所缓和，原油价格仍可能维持在较高水平，成为制约美债利率下降的重要因素之一。
- 安全资产需求增加。在全球不确定性较高的背景下，投资者对安全资产的需求上升也会推高美债利率。

【来源：H301_AP202604211821369599_1 第9页】",主要因素包括油价中枢可能抬升以及安全资产需求变化（如对美国信用的质疑）。:contentReference[oaicite:5]{index=5},0.4166666666458333,,0.8456281337159374
报告中提到美国3月宏观经济数据表现如何？,"['本研究报告仅通过邮件提供给 东方财富网 使用。20\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第20页 共24页                            简单金融 成就梦想 \n \n资料来源：美联储、申万宏源研究   \n（七）通胀：美国3 月PPI 弱于市场预期  \n美国3 月PPI 环比持平于0.5%，市场预期1.1%，核心PPI 环比0.1%，市场预\n期0.4%，均弱于市场预期。', '本研究报告仅通过邮件提供给 东方财富网 使用。21\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第21页 共24页                            简单金融 成就梦想 \n（八）工业：美国3 月工业生产弱于预期  \n美国3 月工业生产指数环比-0.5%，市场预期0.1%，大幅弱于预期。其中，制造\n业、采矿业、公用事业环比均出现走弱，制造业行业结构中，交运设备、家具、服装、\n化学品环比走弱，或反映油价、地缘不确定性冲击。', '.................................... 19 \n图表58：美国3 月PPI 同比4% ....................................................................... 20 \n图表59：美国3 月PPI 环比0.5% ....................................................................', '图表60：美国工业生产指数3 月走弱  \n图表61：原材料生产环比走弱幅度最大  \n \n \n \n资料来源：CEIC、申万宏源研究 \n资料来源：CEIC、申万宏源研究 \n \n图表62：3 月制造业生产结构中，交运设备、家具、服装、化学品环比走弱 \n \n资料来源：CEIC、申万宏源研究   \n（九）高频：初领失业金申领人数低于市场预期 \n截止4 月11 日当周，美国失业金初申领人数20.7 万人，低于市场21.3 万人的\n预期。截止4 月4 日当周，续请失业金人数181.', '1%至90.4 美元/桶，COMEX\n金价格上涨1.7%，COMEX 银价格上涨7.5%。 \n美国3 月PPI、工业生产指数弱于预期。美国3 月PPI 环比0.5%，市场预期1.1%，能源分项大\n幅升温，但核心PPI 走弱，显示上游价格压力传导仍有限；美国3 月工业生产指数环比-0.5%，\n市场预期0.1%，或反映高油价、地缘不确定性冲击；美联储褐皮书强调经济“滞胀”风险。']","根据报告内容，美国3月的宏观经济数据显示工业生产和PPI（生产者价格指数）均弱于预期。具体表现为：

- 美国3月工业生产指数环比下降0.5%，市场预期为增长0.1%【来源：H301_AP202604211821369599_1.pdf 第21页】。
- 美国3月PPI环比持平于0.5%，低于市场预期的1.1%；核心PPI环比为0.1%，也低于市场预期的0.4%【来源：H301_AP202604211821369599_1.pdf 第20页】。

这些数据表明美国经济存在一定的下行压力，特别是工业生产和价格水平的增长不及预期。报告还指出，这可能反映了高油价和地缘政治不确定性的影响【来源：H301_AP202604211821369599_1.pdf 第21页】。",美国3月PPI环比0.5%低于预期，工业生产指数环比-0.5%，均弱于市场预期。:contentReference[oaicite:6]{index=6},0.7555555555303703,1.0,0.8331751690535303
当周全球大类资产的整体表现如何？,"['本研究报告仅通过邮件提供给 东方财富网 使用。11\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第11页 共24页                            简单金融 成就梦想 \n二、大类资产&海外事件&数据： \n（一）大类资产：TACO 交易延续，科技股领涨全球 \n当周，发达市场股指悉数上涨，新兴市场股指多数上涨。发达市场股指方面，日经\n225、纳斯达克指数、澳大利亚普通股指数分别上涨2.7%、6.8%、0.', '........................................................... 9 \n二、大类资产&海外事件&数据： ................................... 11 \n（一）大类资产：TACO 交易延续，科技股领涨全球 ....................... 11 \n（二）美债：TGA 规模上升，美债净发行上升...................................', '......................... 11 \n图表20：当周，美国标普500 行业多数上涨 ..................................................... 11 \n图表21：当周，欧元区行业多数上涨 ................................................................ 11 \n图表22：当周，恒生指数悉数上涨 ...........................', '3%，能源、公用事业、材料分别下跌3.5%、1.7%、0.4%；欧元区行业多数\n上涨，金融、工业、非必需消费分别上涨3.9%、3.6%、3.6%，能源、公用事业、通信\n服务下跌7.4%、3.1%、2.2%。 \n图表20：当周，美国标普500 行业多数上涨 \n图表21：当周，欧元区行业多数上涨 \n \n \n资料来源：Wind，申万宏源研究 \n资料来源：Wind，申万宏源研究 \n当周，恒生指数悉数上涨，行业方面涨跌互现。', '.................................................................. 12 \n图表23：当周，行业方面涨跌互现 .................................................................... 12 \n图表24：当周，发达国家10Y 国债收益率多数下跌 ..........................................']","当周，发达市场股指悉数上涨，新兴市场股指多数上涨。具体来看，日经225、纳斯达克指数、澳大利亚普通股指数分别上涨2.7%、6.8%、0.3%，而能源、公用事业、材料分别下跌3.5%、1.7%、0.4%。

【来源：H301_AP202604211821369599_1.pdf 第11页】",当周全球股市普遍上涨，标普500上涨约4.5%，美债收益率下行，美元指数走弱，大宗商品价格波动。:contentReference[oaicite:7]{index=7},0.9999999999,0.875,0.6646767520098804
美国2026年财政赤字情况相较去年有何变化？,"['图表43：美国2026 财政赤字低于去年同期水平 \n图表44：今年财政支出高于去年同期水平 \n \n \n资料来源：美国财政部，申万宏源研究 \n资料来源：美国财政部，申万宏源研究', '................................................................... 16 \n图表43：美国2026 财政赤字低于去年同期水平 ............................................... 16 \n图表44：今年财政支出高于去年同期水平 ..........................................................', '2 亿美元。 \n图表41：美国TGA 规模上升 \n图表42：美债净发行规模本周上升 \n \n \n \n资料来源：CEIC，申万宏源研究 \n资料来源：CEIC，申万宏源研究 \n（三）美国财政：美国赤字规模低于去年同期水平 \n截至2026 年4 月9 日，美国2026 日历年累计财政赤字规模6903 亿美元，去\n年同期为7331 亿美元；累计支出规模24521 亿美元，去年同期23344 亿美元；累\n计财政税收收入12558 亿美元，去年同期11537 亿美元；关税收入规模862 亿美元，\n去年同期289 亿美元。', '......................... 16 \n图表45：美国2026 年财政收入高于去年同期 ................................................... 17 \n图表46：美国2026 年关税收入大幅高于去年同期 ............................................ 17 \n图表47：特郎普总统职位支持率 ..............................................', '本研究报告仅通过邮件提供给 东方财富网 使用。17\n \n世界经济 \n请务必仔细阅读正文之后的各项信息披露与声明 \n第17页 共24页                            简单金融 成就梦想 \n图表45：美国2026 年财政收入高于去年同期 \n图表46：美国2026 年关税收入大幅高于去年同期 \n \n资料来源：美国财政部，申万宏源研究 \n资料来源：美国财政部，申万宏源研究 \n（四）中期选举：特朗普净支持率-17% \n截至2026 年4 月16 日，特朗普支持率39.8%，反对率56.']","美国2026年的财政赤字规模低于去年同期水平。具体来看，截至2026年4月9日，美国2026财年累计财政赤字为6903亿美元，而去年同期这一数字为7331亿美元。

【来源：H301_AP202604211821369599_1.pdf 第16页】",2026年累计财政赤字为6903亿美元，低于去年同期的7331亿美元。:contentReference[oaicite:8]{index=8},0.9999999999666667,0.75,0.9601592046078669
本报告中提到的主要风险提示有哪些？,"['在任何情况下，本报告中的信息或所表述的意见并不构成对任何人的投资建议。在任何情况下，本公司不对任何人因使用\n本报告中的任何内容所引致的任何损失负任何责任。市场有风险，投资需谨慎。若本报告的接收人非本公司的客户，应在\n基于本报告作出任何投资决定或就本报告要求任何解释前咨询独立投资顾问。 \n本报告的版权归本公司所有，属于非公开资料。本公司对本报告保留一切权利。除非另有书面显示，否则本报告中的所有\n材料的版权均属本公司。', '本报告所载的资料、意见及推\n测仅反映本公司于发布本报告当日的判断，本报告所指的证券或投资标的的价格、价值及投资收入可能会波动。在不同时\n期，本公司可发出与本报告所载资料、意见及推测不一致的报告。 \n客户应当考虑到本公司可能存在可能影响本报告客观性的利益冲突，不应视本报告为作出投资决策的惟一因素。客户应自\n主作出投资决策并自行承担投资风险。', '......................... 21 \n（九）高频：初领失业金申领人数低于市场预期 ............................... 21 \n三、全球宏观日历：关注美国零售数据 ............................ 23 \n风险提示 ......................................................................... 23 \n \n \n目录', '风险提示：地缘政治冲突升级；美国经济放缓超预期；美联储超预期转“鹰”', '......................... 18 \n（六）美联储：褐皮书指向“滞胀”风险 ............................................ 18 \n（七）通胀：美国3 月PPI 弱于市场预期 ........................................... 20 \n（八）工业：美国3 月工业生产弱于预期 ...........................................']","本报告中提到的主要风险提示包括：
- 地缘政治冲突升级；
- 美国经济放缓超预期；
- 美联储超预期转“鹰”。

【来源：H301_AP202604211821369599_1.pdf 第1页】",主要风险包括地缘政治冲突升级、美国经济放缓超预期以及美联储政策超预期转鹰。:contentReference[oaicite:9]{index=9},0.249999999975,1.0,0.9770824894038501
